Ticker,Date,Price,Currency
AMGN,2024-10-22 00:00:00-04:00,317.1239929199219,GBP
AMGN,2024-10-23 00:00:00-04:00,312.4017639160156,GBP
AMGN,2024-10-24 00:00:00-04:00,313.18548583984375,GBP
AMGN,2024-10-25 00:00:00-04:00,314.46527099609375,GBP
AMGN,2024-10-28 00:00:00-04:00,314.6537780761719,GBP
AMGN,2024-10-29 00:00:00-04:00,313.4930419921875,GBP
AMGN,2024-10-30 00:00:00-04:00,313.03668212890625,GBP
AMGN,2024-10-31 00:00:00-04:00,317.6200256347656,GBP
AMGN,2024-11-01 00:00:00-04:00,316.6875,GBP
AMGN,2024-11-04 00:00:00-05:00,314.39581298828125,GBP
AMGN,2024-11-05 00:00:00-05:00,316.7569274902344,GBP
AMGN,2024-11-06 00:00:00-05:00,319.23712158203125,GBP
AMGN,2024-11-07 00:00:00-05:00,319.35614013671875,GBP
AMGN,2024-11-08 00:00:00-05:00,322.69940185546875,GBP
AMGN,2024-11-11 00:00:00-05:00,319.2569274902344,GBP
AMGN,2024-11-12 00:00:00-05:00,296.46917724609375,GBP
AMGN,2024-11-13 00:00:00-05:00,299.0485534667969,GBP
AMGN,2024-11-14 00:00:00-05:00,293.5822448730469,GBP
AMGN,2024-11-15 00:00:00-05:00,281.3599853515625,GBP
AMGN,2024-11-18 00:00:00-05:00,278.760009765625,GBP
AMGN,2024-11-19 00:00:00-05:00,279.95001220703125,GBP
AMGN,2024-11-20 00:00:00-05:00,287.8699951171875,GBP
AMGN,2024-11-21 00:00:00-05:00,289.8999938964844,GBP
^FTSE,2024-10-22 00:00:00+01:00,8306.5,GBP
^FTSE,2024-10-23 00:00:00+01:00,8258.599609375,GBP
^FTSE,2024-10-24 00:00:00+01:00,8269.400390625,GBP
^FTSE,2024-10-25 00:00:00+01:00,8248.7998046875,GBP
^FTSE,2024-10-28 00:00:00+00:00,8285.599609375,GBP
^FTSE,2024-10-29 00:00:00+00:00,8219.599609375,GBP
^FTSE,2024-10-30 00:00:00+00:00,8159.60009765625,GBP
^FTSE,2024-10-31 00:00:00+00:00,8110.10009765625,GBP
^FTSE,2024-11-01 00:00:00+00:00,8177.2001953125,GBP
^FTSE,2024-11-04 00:00:00+00:00,8184.2001953125,GBP
^FTSE,2024-11-05 00:00:00+00:00,8172.39990234375,GBP
^FTSE,2024-11-06 00:00:00+00:00,8166.7001953125,GBP
^FTSE,2024-11-07 00:00:00+00:00,8140.7001953125,GBP
^FTSE,2024-11-08 00:00:00+00:00,8072.39990234375,GBP
^FTSE,2024-11-11 00:00:00+00:00,8125.2001953125,GBP
^FTSE,2024-11-12 00:00:00+00:00,8025.7998046875,GBP
^FTSE,2024-11-13 00:00:00+00:00,8030.2998046875,GBP
^FTSE,2024-11-14 00:00:00+00:00,8071.2001953125,GBP
^FTSE,2024-11-15 00:00:00+00:00,8063.60009765625,GBP
^FTSE,2024-11-18 00:00:00+00:00,8109.2998046875,GBP
^FTSE,2024-11-19 00:00:00+00:00,8099.0,GBP
^FTSE,2024-11-20 00:00:00+00:00,8085.10009765625,GBP
^FTSE,2024-11-21 00:00:00+00:00,8149.2998046875,GBP
^FTSE,2024-11-22 00:00:00+00:00,8204.599609375,GBP
